"date","area_name","value"
"2020-01-03","Scotland",2
"2020-01-04","Scotland",384
"2020-01-05","Scotland",368
"2020-01-06","Scotland",38
"2020-01-07","Scotland",11
"2020-01-08","Scotland",0
"2020-01-09","Scotland",0
"2020-01-10","Scotland",0
"2020-01-11","Scotland",0
"2020-01-11","Northern Ireland",1
"2020-01-12","Scotland",0
"2020-01-12","Northern Ireland",0
"2020-01-13","Scotland",0
"2020-01-13","Northern Ireland",0
"2020-01-14","Northern Ireland",0
"2020-01-14","Scotland",0
"2020-01-15","Scotland",0
"2020-01-15","Northern Ireland",0
"2020-01-16","Scotland",0
"2020-01-16","Northern Ireland",0
"2020-01-17","Scotland",0
"2020-01-17","Northern Ireland",0
"2020-01-18","Scotland",0
"2020-01-18","Northern Ireland",0
"2020-01-19","Northern Ireland",0
"2020-01-19","Scotland",0
"2020-01-20","Scotland",0
"2020-01-20","Northern Ireland",0
"2020-01-21","Northern Ireland",0
"2020-01-21","Scotland",0
"2020-01-22","Scotland",0
"2020-01-22","Northern Ireland",0
"2020-01-23","Northern Ireland",0
"2020-01-23","Scotland",0
"2020-01-24","Scotland",0
"2020-01-24","Northern Ireland",0
"2020-01-25","Northern Ireland",0
"2020-01-25","Scotland",0
"2020-01-26","Scotland",0
"2020-01-26","Northern Ireland",0
"2020-01-27","Northern Ireland",0
"2020-01-27","Scotland",0
"2020-01-28","Scotland",0
"2020-01-28","Northern Ireland",0
"2020-01-29","Northern Ireland",0
"2020-01-29","Scotland",0
"2020-01-30","Scotland",0
"2020-01-30","Northern Ireland",0
"2020-01-30","England",1
"2020-01-31","Northern Ireland",0
"2020-01-31","England",0
"2020-01-31","Scotland",0
"2020-02-01","Scotland",0
"2020-02-01","Northern Ireland",0
"2020-02-01","England",0
"2020-02-02","England",1
"2020-02-02","Northern Ireland",0
"2020-02-02","Scotland",0
"2020-02-03","Scotland",1
"2020-02-03","England",18
"2020-02-03","Northern Ireland",0
"2020-02-04","England",0
"2020-02-04","Northern Ireland",0
"2020-02-04","Scotland",355
"2020-02-05","Scotland",217
"2020-02-05","Northern Ireland",0
"2020-02-05","England",1
"2020-02-06","England",0
"2020-02-06","Northern Ireland",0
"2020-02-06","Scotland",45
"2020-02-07","Scotland",13
"2020-02-07","Northern Ireland",0
"2020-02-07","England",0
"2020-02-08","England",3
"2020-02-08","Northern Ireland",0
"2020-02-08","Scotland",0
"2020-02-09","Scotland",0
"2020-02-09","Northern Ireland",0
"2020-02-09","England",1
"2020-02-10","England",1
"2020-02-10","Northern Ireland",0
"2020-02-10","Scotland",0
"2020-02-11","Scotland",0
"2020-02-11","Northern Ireland",0
"2020-02-11","England",4
"2020-02-12","England",1
"2020-02-12","Northern Ireland",0
"2020-02-12","Scotland",0
"2020-02-13","Scotland",0
"2020-02-13","England",1
"2020-02-13","Northern Ireland",0
"2020-02-14","Northern Ireland",0
"2020-02-14","England",0
"2020-02-14","Scotland",0
"2020-02-15","Scotland",0
"2020-02-15","Northern Ireland",0
"2020-02-15","England",0
"2020-02-16","Northern Ireland",0
"2020-02-16","England",0
"2020-02-16","Scotland",0
"2020-02-17","Scotland",0
"2020-02-17","Northern Ireland",0
"2020-02-17","England",1
"2020-02-18","Northern Ireland",0
"2020-02-18","England",0
"2020-02-18","Scotland",0
"2020-02-19","Scotland",0
"2020-02-19","Northern Ireland",0
"2020-02-19","England",0
"2020-02-20","England",0
"2020-02-20","Northern Ireland",0
"2020-02-20","Scotland",0
"2020-02-21","Scotland",0
"2020-02-21","Northern Ireland",0
"2020-02-21","England",2
"2020-02-22","England",0
"2020-02-22","Northern Ireland",0
"2020-02-22","Scotland",0
"2020-02-23","Scotland",0
"2020-02-23","England",6
"2020-02-23","Northern Ireland",0
"2020-02-24","Northern Ireland",0
"2020-02-24","England",2
"2020-02-24","Scotland",0
"2020-02-25","Scotland",0
"2020-02-25","Northern Ireland",0
"2020-02-25","England",3
"2020-02-26","Northern Ireland",1
"2020-02-26","England",1
"2020-02-26","Scotland",0
"2020-02-27","Scotland",0
"2020-02-27","Northern Ireland",0
"2020-02-27","England",7
"2020-02-27","Wales",1
"2020-02-28","England",11
"2020-02-28","Northern Ireland",0
"2020-02-28","Wales",0
"2020-02-28","Scotland",1
"2020-02-29","Scotland",0
"2020-02-29","Northern Ireland",0
"2020-02-29","Wales",0
"2020-02-29","England",4
"2020-03-01","Northern Ireland",0
"2020-03-01","England",18
"2020-03-01","Wales",0
"2020-03-01","Scotland",2
"2020-03-02","Scotland",1
"2020-03-02","Wales",0
"2020-03-02","Northern Ireland",0
"2020-03-02","England",40
"2020-03-03","England",53
"2020-03-03","Wales",0
"2020-03-03","Northern Ireland",2
"2020-03-03","Scotland",3
"2020-03-04","Scotland",6
"2020-03-04","England",49
"2020-03-04","Wales",1
"2020-03-04","Northern Ireland",0
"2020-03-05","Wales",0
"2020-03-05","Northern Ireland",1
"2020-03-05","England",46
"2020-03-05","Scotland",2
"2020-03-06","Scotland",6
"2020-03-06","Wales",0
"2020-03-06","Northern Ireland",3
"2020-03-06","England",74
"2020-03-07","Northern Ireland",5
"2020-03-07","England",55
"2020-03-07","Wales",2
"2020-03-07","Scotland",6
"2020-03-08","Scotland",3
"2020-03-08","Wales",1
"2020-03-08","Northern Ireland",1
"2020-03-08","England",50
"2020-03-09","England",127
"2020-03-09","Wales",3
"2020-03-09","Northern Ireland",2
"2020-03-09","Scotland",16
"2020-03-10","Scotland",21
"2020-03-10","England",229
"2020-03-10","Northern Ireland",3
"2020-03-10","Wales",12
"2020-03-11","Wales",14
"2020-03-11","Northern Ireland",6
"2020-03-11","England",358
"2020-03-11","Scotland",25
"2020-03-12","Scotland",38
"2020-03-12","Northern Ireland",0
"2020-03-12","England",421
"2020-03-12","Wales",25
"2020-03-13","Northern Ireland",0
"2020-03-13","England",401
"2020-03-13","Wales",29
"2020-03-13","Scotland",48
"2020-03-14","Scotland",19
"2020-03-14","England",315
"2020-03-14","Wales",18
"2020-03-14","Northern Ireland",0
"2020-03-15","Wales",31
"2020-03-15","Northern Ireland",0
"2020-03-15","England",398
"2020-03-15","Scotland",12
"2020-03-16","Scotland",21
"2020-03-16","Northern Ireland",0
"2020-03-16","England",552
"2020-03-16","Wales",29
"2020-03-17","Wales",57
"2020-03-17","Northern Ireland",0
"2020-03-17","England",683
"2020-03-17","Scotland",43
"2020-03-18","Scotland",41
"2020-03-18","Northern Ireland",0
"2020-03-18","Wales",29
"2020-03-18","England",910
"2020-03-19","Wales",58
"2020-03-19","Northern Ireland",0
"2020-03-19","England",932
"2020-03-19","Scotland",50
"2020-03-20","Scotland",84
"2020-03-20","Northern Ireland",0
"2020-03-20","Wales",73
"2020-03-20","England",1096
"2020-03-21","England",1040
"2020-03-21","Wales",76
"2020-03-21","Northern Ireland",0
"2020-03-21","Scotland",67
"2020-03-22","Scotland",74
"2020-03-22","Northern Ireland",0
"2020-03-22","Wales",75
"2020-03-22","England",1212
"2020-03-23","England",2010
"2020-03-23","Wales",134
"2020-03-23","Northern Ireland",7
"2020-03-23","Scotland",138
"2020-03-24","Scotland",167
"2020-03-24","England",2041
"2020-03-24","Wales",140
"2020-03-24","Northern Ireland",5
"2020-03-25","England",2284
"2020-03-25","Wales",190
"2020-03-25","Northern Ireland",4
"2020-03-25","Scotland",188
"2020-03-26","Scotland",223
"2020-03-26","Northern Ireland",6
"2020-03-26","Wales",177
"2020-03-26","England",2633
"2020-03-27","England",2673
"2020-03-27","Wales",193
"2020-03-27","Northern Ireland",15
"2020-03-27","Scotland",274
"2020-03-28","Scotland",204
"2020-03-28","England",2379
"2020-03-28","Northern Ireland",24
"2020-03-28","Wales",167
"2020-03-29","England",2449
"2020-03-29","Wales",159
"2020-03-29","Northern Ireland",13
"2020-03-29","Scotland",197
"2020-03-30","Scotland",317
"2020-03-30","Wales",343
"2020-03-30","Northern Ireland",21
"2020-03-30","England",3514
"2020-03-31","Wales",278
"2020-03-31","England",3816
"2020-03-31","Northern Ireland",28
"2020-03-31","Scotland",341
"2020-04-01","Scotland",389
"2020-04-01","Northern Ireland",25
"2020-04-01","England",4150
"2020-04-01","Wales",327
"2020-04-02","England",4097
"2020-04-02","Wales",337
"2020-04-02","Northern Ireland",39
"2020-04-02","Scotland",351
"2020-04-03","Scotland",381
"2020-04-03","Wales",330
"2020-04-03","England",4102
"2020-04-03","Northern Ireland",40
"2020-04-04","Northern Ireland",29
"2020-04-04","England",3405
"2020-04-04","Wales",281
"2020-04-04","Scotland",261
"2020-04-05","Scotland",225
"2020-04-05","Wales",224
"2020-04-05","Northern Ireland",13
"2020-04-05","England",3094
"2020-04-06","Northern Ireland",79
"2020-04-06","England",4407
"2020-04-06","Wales",383
"2020-04-06","Scotland",404
"2020-04-07","Scotland",352
"2020-04-07","Wales",386
"2020-04-07","Northern Ireland",134
"2020-04-07","England",4605
"2020-04-08","England",4315
"2020-04-08","Northern Ireland",102
"2020-04-08","Wales",386
"2020-04-08","Scotland",343
"2020-04-09","Scotland",304
"2020-04-09","England",4076
"2020-04-09","Wales",391
"2020-04-09","Northern Ireland",104
"2020-04-10","Northern Ireland",100
"2020-04-10","Wales",308
"2020-04-10","England",3590
"2020-04-10","Scotland",329
"2020-04-11","England",3085
"2020-04-11","Scotland",185
"2020-04-11","Wales",247
"2020-04-11","Northern Ireland",68
"2020-04-12","Wales",248
"2020-04-12","Northern Ireland",81
"2020-04-12","England",2958
"2020-04-12","Scotland",220
"2020-04-13","Scotland",359
"2020-04-13","England",3463
"2020-04-13","Wales",273
"2020-04-13","Northern Ireland",108
"2020-04-14","Wales",319
"2020-04-14","Northern Ireland",102
"2020-04-14","Scotland",346
"2020-04-14","England",3568
"2020-04-15","Scotland",331
"2020-04-15","England",4240
"2020-04-15","Northern Ireland",138
"2020-04-15","Wales",361
"2020-04-16","Wales",363
"2020-04-16","Northern Ireland",141
"2020-04-16","England",4360
"2020-04-16","Scotland",428
"2020-04-17","Scotland",394
"2020-04-17","England",4088
"2020-04-17","Northern Ireland",171
"2020-04-17","Wales",324
"2020-04-18","Wales",248
"2020-04-18","Northern Ireland",90
"2020-04-18","England",4142
"2020-04-18","Scotland",264
"2020-04-19","England",3494
"2020-04-19","Scotland",159
"2020-04-19","Wales",181
"2020-04-19","Northern Ireland",47
"2020-04-20","Wales",281
"2020-04-20","Northern Ireland",114
"2020-04-20","Scotland",348
"2020-04-20","England",3698
"2020-04-21","England",3996
"2020-04-21","Scotland",400
"2020-04-21","Wales",259
"2020-04-21","Northern Ireland",141
"2020-04-22","Wales",253
"2020-04-22","Northern Ireland",112
"2020-04-22","Scotland",340
"2020-04-22","England",4812
"2020-04-23","England",4574
"2020-04-23","Scotland",314
"2020-04-23","Northern Ireland",78
"2020-04-23","Wales",200
"2020-04-24","Northern Ireland",90
"2020-04-24","Wales",213
"2020-04-24","Scotland",306
"2020-04-24","England",4352
"2020-04-25","England",3381
"2020-04-25","Scotland",184
"2020-04-25","Wales",137
"2020-04-25","Northern Ireland",55
"2020-04-26","Northern Ireland",47
"2020-04-26","Wales",121
"2020-04-26","Scotland",171
"2020-04-26","England",3137
"2020-04-27","England",4056
"2020-04-27","Scotland",434
"2020-04-27","Wales",173
"2020-04-27","Northern Ireland",76
"2020-04-28","Northern Ireland",71
"2020-04-28","Wales",152
"2020-04-28","England",4113
"2020-04-28","Scotland",383
"2020-04-29","Scotland",431
"2020-04-29","England",4737
"2020-04-29","Northern Ireland",89
"2020-04-29","Wales",176
"2020-04-30","Northern Ireland",110
"2020-04-30","Wales",200
"2020-04-30","England",4314
"2020-04-30","Scotland",337
"2020-05-01","England",4109
"2020-05-01","Scotland",375
"2020-05-01","Wales",177
"2020-05-01","Northern Ireland",105
"2020-05-02","Northern Ireland",95
"2020-05-02","Wales",179
"2020-05-02","Scotland",222
"2020-05-02","England",2762
"2020-05-03","England",2648
"2020-05-03","Scotland",188
"2020-05-03","Wales",108
"2020-05-03","Northern Ireland",58
"2020-05-04","Northern Ireland",77
"2020-05-04","Wales",141
"2020-05-04","Scotland",329
"2020-05-04","England",2851
"2020-05-05","Scotland",288
"2020-05-05","England",3148
"2020-05-05","Wales",175
"2020-05-05","Northern Ireland",75
"2020-05-06","Northern Ireland",90
"2020-05-06","Wales",171
"2020-05-06","Scotland",307
"2020-05-06","England",3264
"2020-05-07","England",3205
"2020-05-07","Scotland",297
"2020-05-07","Northern Ireland",109
"2020-05-07","Wales",176
"2020-05-08","Wales",115
"2020-05-08","Northern Ireland",69
"2020-05-08","Scotland",258
"2020-05-08","England",2622
"2020-05-09","Scotland",180
"2020-05-09","England",1797
"2020-05-09","Northern Ireland",57
"2020-05-09","Wales",136
"2020-05-10","Northern Ireland",64
"2020-05-10","Wales",107
"2020-05-10","England",2013
"2020-05-10","Scotland",153
"2020-05-11","Scotland",265
"2020-05-11","England",3088
"2020-05-11","Northern Ireland",81
"2020-05-11","Wales",178
"2020-05-12","Northern Ireland",90
"2020-05-12","Wales",150
"2020-05-12","Scotland",230
"2020-05-12","England",2940
"2020-05-13","Scotland",198
"2020-05-13","England",2899
"2020-05-13","Wales",154
"2020-05-13","Northern Ireland",79
"2020-05-14","Wales",132
"2020-05-14","Northern Ireland",65
"2020-05-14","England",2222
"2020-05-14","Scotland",211
"2020-05-15","England",2145
"2020-05-15","Scotland",151
"2020-05-15","Wales",180
"2020-05-15","Northern Ireland",54
"2020-05-16","Northern Ireland",32
